"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083472742","7.14.12.2.1.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083472743","7.14.12.2.1.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083472760","7.14.12.2.2.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083472761","7.14.12.2.2.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083472778","7.14.12.2.3.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083472779","7.14.12.2.3.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083472796","7.14.12.3.1.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083472797","7.14.12.3.1.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083472814","7.14.12.3.2.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083472815","7.14.12.3.2.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Female gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083472832","7.14.12.3.3.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Female gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083472833","7.14.12.3.3.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083509624","7.19.12.1.1.1.4.2","63700","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083509625","7.19.12.1.1.1.4.3","75800","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083509642","7.19.12.1.2.1.4.2","62900","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083509643","7.19.12.1.2.1.4.3","75900","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083509660","7.19.12.1.3.1.4.2","67300","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083509661","7.19.12.1.3.1.4.3","74200","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083509678","7.19.12.2.1.1.4.2","66500","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083509679","7.19.12.2.1.1.4.3","78500","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083509696","7.19.12.2.2.1.4.2","66500","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083509697","7.19.12.2.2.1.4.3","79800","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083509714","7.19.12.2.3.1.4.2","64400","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083509715","7.19.12.2.3.1.4.3","72100","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083509732","7.19.12.3.1.1.4.2","61500","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083509733","7.19.12.3.1.1.4.3","69600","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083509750","7.19.12.3.2.1.4.2","60500","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083509751","7.19.12.3.2.1.4.3","67900","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Female gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083509768","7.19.12.3.3.1.4.2","68600","","","","0"
"2010","Ontario","2016A000235","Master's degree","Computer and information sciences [a.32]","Female gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083509769","7.19.12.3.3.1.4.3","77400","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083534248","7.23.12.1.1.1.4.2","72400","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083534249","7.23.12.1.1.1.4.3","96200","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083534266","7.23.12.1.2.1.4.2","78700","","","","0"
"2010","Ontario","2016A000235","Doctoral degree","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083534267","7.23.12.1.2.1.4.3","100500","","","","0"
